# File: wedding_planning_sources.csv
# Created By: claude-sonnet-4-5-20250929
# Created Date: 2025-11-22
# Description: Source bibliography for wedding planning research (APA 7)
# Total Sources: 29 professional sources
#
Source_Number,Source_Name,Organization,Credibility_Rating,Type_of_Data,URL,Date_Accessed,Key_Findings,APA_Citation
11,When to Book a Wedding Caterer,Zola,Gold Standard,Caterer booking advice,https://www.zola.com/expert-advice/when-to-book-wedding-caterer,2025-11-22,9-12 months for caterers,"Zola. (2024). When to book a wedding caterer. https://www.zola.com/expert-advice/when-to-book-wedding-caterer"
12,12-Month Wedding Planning Countdown,The Knot,Gold Standard,Comprehensive timeline,https://www.theknot.com/content/12-month-wedding-planning-countdown,2025-11-22,Industry standard 12-month planning timeline,"The Knot. (2024). 12-month wedding planning countdown. https://www.theknot.com/content/12-month-wedding-planning-countdown"
13,Wedding Planning Spreadsheet: Checklist Budget & More,The Knot,Gold Standard,Planning tools,https://www.theknot.com/content/wedding-planning-spreadsheet,2025-11-22,Budget and planning templates,"The Knot. (2024). Wedding planning spreadsheet: Checklist, budget & more. https://www.theknot.com/content/wedding-planning-spreadsheet"
14,Wedding Budget Planner Spreadsheet and Calculator,WeddingWire,Gold Standard,Budget planning,https://www.weddingwire.com/wedding-planning/wedding-budget.html,2025-11-22,Budget allocation percentages and tools,"WeddingWire. (2024). Wedding budget planner, spreadsheet and calculator. https://www.weddingwire.com/wedding-planning/wedding-budget.html"
15,The Ultimate Wedding Planning Checklist & Timeline,Zola,Gold Standard,Comprehensive checklist,https://www.zola.com/expert-advice/your-ultimate-wedding-planning-checklist,2025-11-22,Complete planning timeline and checklist,"Zola. (2024). The ultimate wedding planning checklist & timeline for 2024/25. https://www.zola.com/expert-advice/your-ultimate-wedding-planning-checklist"
16,Planning a Wedding in a Year: Timelines & Checklist,Turning Stone Resort,Industry Professional,12-month timeline,https://www.turningstone.com/press/articles/weddings/wedding-planning-checklist-1-year-timeline,2025-11-22,12-month planning window standard,"Turning Stone Resort Casino. (n.d.). Planning a wedding in a year: Timelines & checklist. https://www.turningstone.com/press/articles/weddings/wedding-planning-checklist-1-year-timeline"
17,How to Plan a Wedding: Complete Step-by-Step Guide,Bjorn and Company,Industry Professional,Comprehensive planning guide,https://bjornandcompany.com/how-to-plan-a-wedding/,2025-11-22,Step-by-step planning methodology,"Bjorn and Company. (n.d.). How to plan a wedding: Complete step-by-step guide for 2025. https://bjornandcompany.com/how-to-plan-a-wedding/"
18,The Best 12-Month Wedding Planning Timeline,Junebug Weddings,Industry Professional,Timeline guidance,https://junebugweddings.com/wedding-blog/the-best-12-month-wedding-planning-timeline/,2025-11-22,Month-by-month breakdown,"Junebug Weddings. (n.d.). The best 12-month wedding planning timeline. https://junebugweddings.com/wedding-blog/the-best-12-month-wedding-planning-timeline/"
19,12 Month Wedding Checklist & Timeline,Loverly,Industry Professional,Monthly timeline,https://loverly.com/planning/wedding-101/12-month-wedding-timeline,2025-11-22,Month-by-month planning checklist,"Loverly. (n.d.). 12 month wedding checklist & 12 month wedding timeline (month by month). https://loverly.com/planning/wedding-101/12-month-wedding-timeline"
20,12 Month Wedding Planning Checklist: Guide & Timeline,Planning.Wedding,Industry Professional,Planning guide,https://planning.wedding/timeline/checklist,2025-11-22,12-month planning methodology,"Planning.Wedding. (n.d.). 12 month wedding planning checklist: Guide & timeline. https://planning.wedding/timeline/checklist"
21,Free Wedding Budget Worksheet for Excel,Vertex42,Industry Professional,Budget template,https://www.vertex42.com/ExcelTemplates/wedding-budget.html,2025-11-22,Budget tracking tools and templates,"Vertex42. (n.d.). Free wedding budget worksheet for Excel. https://www.vertex42.com/ExcelTemplates/wedding-budget.html"
22,Wedding Guestlist Template for Excel,Vertex42,Industry Professional,Guest list template,https://www.vertex42.com/ExcelTemplates/wedding-guestlist-template.html,2025-11-22,Guest tracking methodology,"Vertex42. (n.d.). Wedding guestlist template for Excel. https://www.vertex42.com/ExcelTemplates/wedding-guestlist-template.html"
23,The Wedding Budget & Free Budgeting Spreadsheet,Bridalmusings,Industry Professional,Budget tools,https://bridalmusings.com/180086/free-wedding-budget-spreadsheet/,2025-11-22,Budget spreadsheet templates,"Bridalmusings. (n.d.). The wedding budget & free budgeting spreadsheet. https://bridalmusings.com/180086/free-wedding-budget-spreadsheet/"
24,The Only Wedding Budget Spreadsheet You Need,The Budget Savvy Bride,Industry Professional,Budget planning,https://thebudgetsavvybride.com/savvy-spreadsheets-wedding-budget-spreadsheets/,2025-11-22,Comprehensive budget tools,"The Budget Savvy Bride. (n.d.). The only wedding budget spreadsheet you need. https://thebudgetsavvybride.com/savvy-spreadsheets-wedding-budget-spreadsheets/"
25,Free Wedding Budget Template,Joy,Industry Professional,Budget template,https://withjoy.com/blog/wedding-budget-template/,2025-11-22,Budget planning template,"Joy. (n.d.). Free wedding budget template for planning your big day. https://withjoy.com/blog/wedding-budget-template/"
26,Wedding Budget and Planner Spreadsheet,Tiller,Industry Professional,Budget tool,https://tiller.com/community-templates/wedding-budget-and-planner-spreadsheet/,2025-11-22,Automated budget tracking,"Tiller. (n.d.). Wedding budget and planner spreadsheet. https://tiller.com/community-templates/wedding-budget-and-planner-spreadsheet/"
27,Wedding Planning Guide: Checklist & Timeline,Baywood Weddings,Industry Professional,Planning guide,https://baywoodweddings.com/wedding-planning-guide/chapter-3-wedding-vendor-checklist-and-steps-to-planning-a-wedding,2025-11-22,Vendor checklist and steps,"Baywood Weddings. (n.d.). Wedding planning guide: Checklist & step-by-step timeline. https://baywoodweddings.com/wedding-planning-guide/chapter-3-wedding-vendor-checklist-and-steps-to-planning-a-wedding"
28,Essential Wedding Planning Timeline,Wedgewood Weddings,Industry Professional,Timeline guide,https://www.wedgewoodweddings.com/blog/essential-wedding-planning-timeline,2025-11-22,Comprehensive timeline,"Wedgewood Weddings. (n.d.). Essential wedding planning timeline: A comprehensive guide. https://www.wedgewoodweddings.com/blog/essential-wedding-planning-timeline"
29,Wedding Invitation Tracker,Excel University,Industry Professional,Invitation tracking,https://www.excel-university.com/wedding-invitation-tracker/,2025-11-22,RSVP and invitation management,"Excel University. (n.d.). Wedding invitation tracker. https://www.excel-university.com/wedding-invitation-tracker/"
